id,user_id,r2_key,public_url,title,metadata,created_at,tags,expires_at,is_nsfw,view_count,album_id
078244c5-2ba5-4dbb-bf0c-3f3d3ff3cc06,73a7a83c-090e-4553-8200-8c8d06e6a935,q4s3BnD2t2.webp,https://s.showimg.link/q4s3BnD2t2.webp,CHIBI_SBTI_CTRL_LEO.png,"{""size"": 66550, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/q4s3BnD2t2.webp"", ""mediumUrl"": ""https://s.showimg.link/m/q4s3BnD2t2.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_LEO.webp""}",2026-04-23 06:13:48.307644+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
81d8d895-24b8-42bc-a386-acea9d356a4d,73a7a83c-090e-4553-8200-8c8d06e6a935,6Y86LY11gb.webp,https://s.showimg.link/6Y86LY11gb.webp,CHIBI_SBTI_CTRL_ZEN.png,"{""size"": 77292, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/6Y86LY11gb.webp"", ""mediumUrl"": ""https://s.showimg.link/m/6Y86LY11gb.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_ZEN.webp""}",2026-04-23 06:13:45.274689+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
00f2a4e7-6ac0-4de9-bbd1-15c80279e7e0,73a7a83c-090e-4553-8200-8c8d06e6a935,CcSqHHze1b.webp,https://s.showimg.link/CcSqHHze1b.webp,CHIBI_SBTI_SEXY_MINNIE.png,"{""size"": 82516, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/CcSqHHze1b.webp"", ""mediumUrl"": ""https://s.showimg.link/m/CcSqHHze1b.webp"", ""originalName"": ""CHIBI_SBTI_SEXY_MINNIE.webp""}",2026-04-23 06:13:43.232043+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
7f50d7f8-945a-4f36-8a49-92c71ae377b7,73a7a83c-090e-4553-8200-8c8d06e6a935,HnoB7B4aGp.webp,https://s.showimg.link/HnoB7B4aGp.webp,CHIBI_SBTI_CTRL_VIN.png,"{""size"": 69168, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/HnoB7B4aGp.webp"", ""mediumUrl"": ""https://s.showimg.link/m/HnoB7B4aGp.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_VIN.webp""}",2026-04-23 06:13:40.237431+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
2878caa6-2053-45a1-81dd-ac6713df201f,73a7a83c-090e-4553-8200-8c8d06e6a935,AHSYr7eXoc.webp,https://s.showimg.link/AHSYr7eXoc.webp,CHIBI_SBTI_CTRL_KAI.png,"{""size"": 79034, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/AHSYr7eXoc.webp"", ""mediumUrl"": ""https://s.showimg.link/m/AHSYr7eXoc.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_KAI.webp""}",2026-04-23 06:13:38.162762+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
17381aea-1d09-4169-9e39-0d790109f1ec,73a7a83c-090e-4553-8200-8c8d06e6a935,jvNSNI0oxh.webp,https://s.showimg.link/jvNSNI0oxh.webp,CHIBI_SBTI_FAKE_PORSCHE.png,"{""size"": 59062, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/jvNSNI0oxh.webp"", ""mediumUrl"": ""https://s.showimg.link/m/jvNSNI0oxh.webp"", ""originalName"": ""CHIBI_SBTI_FAKE_PORSCHE.webp""}",2026-04-23 06:13:35.10379+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
efeeb976-f4b2-4164-995e-ea3c26a47722,73a7a83c-090e-4553-8200-8c8d06e6a935,psragId5qE.webp,https://s.showimg.link/psragId5qE.webp,CHIBI_SBTI_SOLO_LILY.png,"{""size"": 64622, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/psragId5qE.webp"", ""mediumUrl"": ""https://s.showimg.link/m/psragId5qE.webp"", ""originalName"": ""CHIBI_SBTI_SOLO_LILY.webp""}",2026-04-23 06:13:32.682638+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
e2f13977-f6cf-49a0-8215-508b43b265ec,73a7a83c-090e-4553-8200-8c8d06e6a935,otiJ1eukIp.webp,https://s.showimg.link/otiJ1eukIp.webp,CHIBI_SBTI_FU_K_TAR.png,"{""size"": 70204, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/otiJ1eukIp.webp"", ""mediumUrl"": ""https://s.showimg.link/m/otiJ1eukIp.webp"", ""originalName"": ""CHIBI_SBTI_FU_K_TAR.webp""}",2026-04-23 06:13:30.642605+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
3010c2a1-22a8-4627-ac46-e845b4e89b1c,73a7a83c-090e-4553-8200-8c8d06e6a935,rttXsSRZva.webp,https://s.showimg.link/rttXsSRZva.webp,CHIBI_SBTI_MALO_NONT.png,"{""size"": 101828, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/rttXsSRZva.webp"", ""mediumUrl"": ""https://s.showimg.link/m/rttXsSRZva.webp"", ""originalName"": ""CHIBI_SBTI_MALO_NONT.webp""}",2026-04-23 06:13:28.529719+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
68c78d44-a21a-4a93-8385-b253812a71ba,73a7a83c-090e-4553-8200-8c8d06e6a935,7myJ1oPSC6.webp,https://s.showimg.link/7myJ1oPSC6.webp,CHIBI_SBTI_BOSS_KIMHUNT.png,"{""size"": 89488, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/7myJ1oPSC6.webp"", ""mediumUrl"": ""https://s.showimg.link/m/7myJ1oPSC6.webp"", ""originalName"": ""CHIBI_SBTI_BOSS_KIMHUNT.webp""}",2026-04-23 06:13:16.81082+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
ff66bb1f-4b30-4de3-af70-23ba548149a8,73a7a83c-090e-4553-8200-8c8d06e6a935,ukuyXSsCmQ.webp,https://s.showimg.link/ukuyXSsCmQ.webp,CHIBI_SBTI_ATM_THAMES.png,"{""size"": 93484, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/ukuyXSsCmQ.webp"", ""mediumUrl"": ""https://s.showimg.link/m/ukuyXSsCmQ.webp"", ""originalName"": ""CHIBI_SBTI_ATM_THAMES.webp""}",2026-04-23 06:13:13.753743+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
c580c367-2e4b-43a7-b1e9-ed8386ab1ec8,73a7a83c-090e-4553-8200-8c8d06e6a935,s0i8Z8W-0o.webp,https://s.showimg.link/s0i8Z8W-0o.webp,CHIBI_SBTI_CTRL_RYU.png,"{""size"": 78446, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/s0i8Z8W-0o.webp"", ""mediumUrl"": ""https://s.showimg.link/m/s0i8Z8W-0o.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_RYU.webp""}",2026-04-23 06:13:10.841524+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
0bfec0ad-32ac-47b1-a532-af657b1b8bfa,73a7a83c-090e-4553-8200-8c8d06e6a935,5IjfA01f_K.webp,https://s.showimg.link/5IjfA01f_K.webp,CHIBI_SBTI_OH_NO_RAY.png,"{""size"": 74860, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/5IjfA01f_K.webp"", ""mediumUrl"": ""https://s.showimg.link/m/5IjfA01f_K.webp"", ""originalName"": ""CHIBI_SBTI_OH_NO_RAY.webp""}",2026-04-23 06:13:08.764924+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
96db8233-6f52-48c7-b793-2bd2e81d907a,73a7a83c-090e-4553-8200-8c8d06e6a935,IcLHujxdqW.webp,https://s.showimg.link/IcLHujxdqW.webp,CHIBI_SBTI_BOSS_lin.png,"{""size"": 71134, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/IcLHujxdqW.webp"", ""mediumUrl"": ""https://s.showimg.link/m/IcLHujxdqW.webp"", ""originalName"": ""CHIBI_SBTI_BOSS_lin.webp""}",2026-04-23 06:13:06.555618+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
4361d007-3859-44ee-bed8-4b532cc5d286,73a7a83c-090e-4553-8200-8c8d06e6a935,zJPHlWnIem.webp,https://s.showimg.link/zJPHlWnIem.webp,CHIBI_SBTI_MALO_TEE.png,"{""size"": 89076, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/zJPHlWnIem.webp"", ""mediumUrl"": ""https://s.showimg.link/m/zJPHlWnIem.webp"", ""originalName"": ""CHIBI_SBTI_MALO_TEE.webp""}",2026-04-23 06:13:02.854681+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
b26396f1-6c2d-419e-9e8d-b0197cae9113,73a7a83c-090e-4553-8200-8c8d06e6a935,I88g4GElJk.webp,https://s.showimg.link/I88g4GElJk.webp,CHIBI_SBTI_MONK_PARK.png,"{""size"": 66612, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/I88g4GElJk.webp"", ""mediumUrl"": ""https://s.showimg.link/m/I88g4GElJk.webp"", ""originalName"": ""CHIBI_SBTI_MONK_PARK.webp""}",2026-04-23 06:13:00.105038+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
e60b9849-5273-4cff-acc8-d7b6adebe3f5,73a7a83c-090e-4553-8200-8c8d06e6a935,RvxJ_lI_yi.webp,https://s.showimg.link/RvxJ_lI_yi.webp,CHIBI_SBTI_DEAD_KEY.png,"{""size"": 59456, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/RvxJ_lI_yi.webp"", ""mediumUrl"": ""https://s.showimg.link/m/RvxJ_lI_yi.webp"", ""originalName"": ""CHIBI_SBTI_DEAD_KEY.webp""}",2026-04-23 06:12:57.744066+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
5537dc14-14aa-4bed-bd1d-dc83b6c91b9b,73a7a83c-090e-4553-8200-8c8d06e6a935,WYFH0xi-ke.webp,https://s.showimg.link/WYFH0xi-ke.webp,CHIBI_SBTI_SOLO_ADEN.png,"{""size"": 52674, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/WYFH0xi-ke.webp"", ""mediumUrl"": ""https://s.showimg.link/m/WYFH0xi-ke.webp"", ""originalName"": ""CHIBI_SBTI_SOLO_ADEN.webp""}",2026-04-23 06:12:54.504183+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
513b5c9b-e321-4612-8c47-c25e4becc1a2,73a7a83c-090e-4553-8200-8c8d06e6a935,lgv3ZfR0sJ.webp,https://s.showimg.link/lgv3ZfR0sJ.webp,CHIBI_SBTI_CTRL_KING.png,"{""size"": 82512, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/lgv3ZfR0sJ.webp"", ""mediumUrl"": ""https://s.showimg.link/m/lgv3ZfR0sJ.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_KING.webp""}",2026-04-23 06:12:52.188612+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
